		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100010000  245  252  226  238  224  239  259  259  5.518793 0.700957 SUCCESS  75
100100000  237  232  237  247  236  239  242  240  1.570216 0.991480 SUCCESS  76
100101000  227  267  250  233  239  263  236  255  6.531357 0.587932 SUCCESS  77
100110000  235  257  233  257  232  233  205  242  9.933404 0.269731 SUCCESS  78
100111000  235  263  223  261  253  264  252  244  7.229349 0.512102 SUCCESS  79
101000000  260  269  243  245  256  253  261  273  9.367809 0.312224 SUCCESS  80
101000100  259  251  250  223  228  274  268  239 10.583733 0.226419 SUCCESS  81
101001000  244  233  252  248  253  237  276  214  9.548926 0.298122 SUCCESS  82
101001100  243  222  235  248  239  230  233  224  5.692497 0.681632 SUCCESS  83
101010000  253  228  269  244  252  245  251  244  4.523176 0.807110 SUCCESS  84
101010100  271  229  245  257  239  233  212  247  9.777706 0.280976 SUCCESS  85
101011000  233  250  259  246  245  235  231  253  3.042459 0.931665 SUCCESS  86
101011100  207  239  240  235  212  233  252  246 11.549694 0.172454 SUCCESS  87
101100000  257  247  245  266  264  261  251  214  9.692973 0.287240 SUCCESS  88
101100100  245  243  236  251  238  260  272  264  6.680700 0.571441 SUCCESS  89
101101000  279  233  213  271  252  243  238  247 13.303676 0.101819 SUCCESS  90
101101100  261  222  256  236  226  258  264  269 10.659993 0.221718 SUCCESS  91
101110000  214  257  243  216  261  239  258  245 10.040380 0.262203 SUCCESS  92
101110100  241  239  232  254  240  250  291  279 15.868980 0.044294 SUCCESS  93
101111000  250  220  234  256  217  231  252  244  7.753637 0.457898 SUCCESS  94
101111100  209  240  263  246  248  239  231  232  8.351008 0.399955 SUCCESS  95
110000000  250  250  226  253  223  248  222  238  6.205134 0.624266 SUCCESS  96
110000010  235  264  224  207  247  284  247  235 16.740675 0.032926 SUCCESS  97
110000100  229  236  245  239  253  238  234  220  4.756192 0.783288 SUCCESS  98
110001000  243  269  245  225  244  221  247  272  9.772411 0.281365 SUCCESS  99
110001010  240  234  273  235  231  244  235  256  6.071679 0.639203 SUCCESS 100
110010000  253  222  255  266  204  231  229  250 13.602361 0.092737 SUCCESS 101
110010010  219  249  257  233  266  262  279  236 12.815399 0.118361 SUCCESS 102
110010100  225  239  239  231  248  240  238  222  4.870583 0.771315 SUCCESS 103
110011000  239  265  242  239  245  245  227  256  3.934278 0.863004 SUCCESS 104
110011010  244  259  237  237  224  251  231  233  4.538004 0.805619 SUCCESS 105
110100000  264  259  232  247  250  242  249  260  4.602613 0.799081 SUCCESS 106
110100010  240  230  254  246  254  268  289  234 13.139505 0.107139 SUCCESS 107
110100100  251  256  230  284  249  251  272  241 12.013609 0.150598 SUCCESS 108
110101000  223  229  249  249  268  255  251  237  6.392607 0.603343 SUCCESS 109
110101010  267  224  238  261  244  224  214  249 10.959738 0.203991 SUCCESS 110
110101100  233  245  264  252  264  244  245  220  6.606558 0.579614 SUCCESS 111
110110000  274  259  232  257  270  256  277  215 17.650500 0.024005 SUCCESS 112
110110010  230  216  233  243  224  250  243  264  8.267333 0.407802 SUCCESS 113
110110100  271  230  223  255  248  250  254  262  8.273688 0.407202 SUCCESS 114
110111000  228  253  228  247  254  262  241  233  4.904476 0.767735 SUCCESS 115
110111010  258  240  241  260  230  253  259  254  4.526353 0.806791 SUCCESS 116
110111100  278  218  228  251  243  260  235  267 12.697832 0.122678 SUCCESS 117
111000000  232  268  246  254  240  246  214  263  8.907071 0.350196 SUCCESS 118
111000010  223  226  240  245  234  240  243  221  6.135229 0.632087 SUCCESS 119
111000100  249  237  226  244  227  220  232  257  6.741073 0.564809 SUCCESS 120
111000110  233  247  231  248  241  270  272  213 11.627013 0.168637 SUCCESS 121
111001000  247  248  245  244  221  238  230  257  4.074088 0.850378 SUCCESS 122
111001010  229  270  233  230  245  243  241  232  5.848194 0.664232 SUCCESS 123
111001100  237  254  253  247  237  244  235  242  1.583985 0.991224 SUCCESS 124
111010000  244  243  231  222  248  236  275  268  9.606121 0.293766 SUCCESS 125
111010010  242  235  239  265  243  223  247  262  5.614118 0.690366 SUCCESS 126
111010100  228  217  240  226  269  259  250  232 10.010723 0.264274 SUCCESS 127
111010110  259  239  256  236  265  248  238  214  7.839430 0.449310 SUCCESS 128
111011000  260  267  245  264  271  236  261  250  9.653784 0.290171 SUCCESS 129
111011010  256  247  214  246  271  240  257  264 10.000132 0.265017 SUCCESS 130
111011100  237  259  246  246  235  258  268  249  4.866346 0.771761 SUCCESS 131
111100000  226  251  231  252  230  238  257  260  5.358859 0.718622 SUCCESS 132
111100010  242  239  246  228  227  234  252  238  3.345381 0.910853 SUCCESS 133
111100100  240  254  247  266  245  237  222  233  5.364155 0.718040 SUCCESS 134
111100110  276  256  249  237  233  256  205  256 13.422302 0.098122 SUCCESS 135
111101000  262  224  235  219  250  267  279  233 14.137241 0.078258 SUCCESS 136
111101010  274  214  244  238  293  248  229  225 20.488010 0.008639 FAILURE 137
111101100  264  243  252  230  238  234  255  229  4.850458 0.773433 SUCCESS 138
111101110  252  232  226  243  232  251  269  240  5.799473 0.669682 SUCCESS 139
111110000  230  237  248  248  233  251  236  247  2.226900 0.973253 SUCCESS 140
111110010  229  279  250  280  247  223  238  230 14.650937 0.066299 SUCCESS 141
111110100  234  232  220  261  234  249  254  257  6.379897 0.604758 SUCCESS 142
111110110  271  235  258  229  241  221  266  241  9.573287 0.296261 SUCCESS 143
111111000  241  253  239  226  272  240  249  245  5.346149 0.720019 SUCCESS 144
111111010  237  231  229  248  244  243  243  233  2.512875 0.961128 SUCCESS 145
111111100  272  267  249  272  257  246  234  246 10.067918 0.260291 SUCCESS 146
111111110  246  238  251  271  233  239  245  221  6.338589 0.609362 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  255  235  236  242  215  215  240  214 12.257218 0.140091 SUCCESS   0
000000011  246  238  252  228  236  228  241  201 10.840052 0.210928 SUCCESS   1
000000101  275  262  216  246  238  236  258  258 10.828401 0.211613 SUCCESS   2
000000111  242  252  238  236  243  221  252  244  3.254293 0.917401 SUCCESS   3
000001001  203  229  224  232  215  260  218  232 18.649295 0.016852 SUCCESS   4
000001011  269  241  226  243  247  231  254  244  5.238114 0.731849 SUCCESS   5
000001101  253  229  240  232  241  239  254  205  9.048999 0.338179 SUCCESS   6
000001111  220  252  252  252  241  224  249  236  5.391693 0.715008 SUCCESS   7
000010001  253  246  232  240  250  237  238  235  1.916564 0.983464 SUCCESS   8
000010011  235  242  279  260  216  257  231  235 11.728693 0.163726 SUCCESS   9
000010101  269  264  241  226  238  243  257  252  6.857581 0.552074 SUCCESS  10
000010111  252  231  247  263  255  231  248  259  4.768902 0.781966 SUCCESS  11
000011001  246  264  240  264  226  233  235  238  5.861964 0.662691 SUCCESS  12
000011011  239  223  235  264  235  241  278  204 16.105174 0.040899 SUCCESS  13
000011101  234  274  215  263  271  238  237  230 13.598124 0.092860 SUCCESS  14
000011111  213  246  239  267  272  221  254  260 13.485852 0.096191 SUCCESS  15
000100011  255  240  246  235  260  241  227  249  3.393044 0.907330 SUCCESS  16
000100101  238  252  226  250  215  256  250  229  7.266420 0.508180 SUCCESS  17
000100111  236  232  256  259  226  268  234  240  6.750605 0.563764 SUCCESS  18
000101001  233  230  252  243  254  236  231  263  4.569779 0.802412 SUCCESS  19
000101011  270  248  234  237  226  254  252  254  6.030371 0.643830 SUCCESS  20
000101101  279  229  227  214  247  213  206  245 21.510107 0.005909 FAILURE  21
000101111  255  234  275  259  259  246  253  252  7.460248 0.487884 SUCCESS  22
000110011  247  239  231  238  226  256  217  234  6.575843 0.583008 SUCCESS  23
000110101  237  249  231  225  245  250  245  250  2.894176 0.940822 SUCCESS  24
000110111  240  238  237  248  249  253  260  228  3.113423 0.927039 SUCCESS  25
000111001  250  236  236  248  236  242  260  265  3.981941 0.858749 SUCCESS  26
000111011  237  281  222  256  252  261  265  226 13.354516 0.100220 SUCCESS  27
000111101  228  242  262  275  237  262  224  254 10.210906 0.250534 SUCCESS  28
000111111  231  265  238  266  256  212  271  232 13.414888 0.098350 SUCCESS  29
001000011  214  255  238  258  247  269  233  254  8.914485 0.349561 SUCCESS  30
001000101  256  238  245  266  249  246  250  270  5.885265 0.660082 SUCCESS  31
001000111  247  250  250  258  249  247  241  266  3.347499 0.910698 SUCCESS  32
001001011  230  231  257  258  231  243  261  228  6.136288 0.631969 SUCCESS  33
001001101  236  243  291  287  257  240  239  232 18.890785 0.015455 SUCCESS  34
001001111  232  238  236  248  262  262  244  229  4.801737 0.778541 SUCCESS  35
001010011  244  230  259  232  255  244  230  239  3.863314 0.869240 SUCCESS  36
001010101  264  266  245  231  249  243  235  238  5.051700 0.752036 SUCCESS  37
001010111  268  241  254  231  256  247  252  262  5.848194 0.664232 SUCCESS  38
001011011  282  222  251  229  235  217  239  233 13.426539 0.097992 SUCCESS  39
001011101  250  243  237  266  238  225  259  273  8.572374 0.379643 SUCCESS  40
001011111  231  230  258  255  297  246  254  234 15.598892 0.048495 SUCCESS  41
001100101  249  282  252  218  244  251  244  227 10.775442 0.214750 SUCCESS  42
001100111  240  230  229  229  190  248  225  243 16.885781 0.031321 SUCCESS  43
001101011  227  226  252  235  247  252  253  250  4.027485 0.854635 SUCCESS  44
001101101  259  245  248  231  249  227  239  217  6.305755 0.613024 SUCCESS  45
001101111  235  257  226  270  254  268  245  249  8.215434 0.412714 SUCCESS  46
001110101  228  246  261  219  249  245  265  248  7.011160 0.535429 SUCCESS  47
001110111  244  237  251  247  250  277  247  227  6.452979 0.596628 SUCCESS  48
001111011  239  231  235  288  206  254  236  255 16.701486 0.033372 SUCCESS  49
001111101  236  231  269  233  254  239  237  243  4.900239 0.768184 SUCCESS  50
001111111  244  249  239  257  253  234  258  227  3.740451 0.879749 SUCCESS  51
010000011  235  268  240  239  238  220  284  236 12.591915 0.126683 SUCCESS  52
010000111  230  249  255  262  257  260  233  262  6.448742 0.597099 SUCCESS  53
010001011  281  249  261  244  251  230  255  269 11.236180 0.188673 SUCCESS  54
010001111  220  239  261  254  222  227  248  241  7.618064 0.471639 SUCCESS  55
010010011  244  271  256  233  261  221  262  229  9.976830 0.266656 SUCCESS  56
010010111  240  225  255  260  265  243  253  251  5.575988 0.694607 SUCCESS  57
010011011  252  256  268  252  247  237  259  237  4.940488 0.763918 SUCCESS  58
010011111  238  214  256  222  266  266  229  246 11.713865 0.164434 SUCCESS  59
010100011  222  224  238  223  233  228  226  247  8.892242 0.351468 SUCCESS  60
010100111  239  228  251  235  250  252  240  226  3.638771 0.888157 SUCCESS  61
010101011  251  246  240  239  238  244  238  244  0.716527 0.999484 SUCCESS  62
010101111  257  271  262  234  239  237  243  262  7.235704 0.511429 SUCCESS  63
010110011  249  258  257  267  218  229  238  257  8.557545 0.380983 SUCCESS  64
010110111  247  233  260  218  241  241  234  221  7.301372 0.504493 SUCCESS  65
010111011  265  262  232  257  253  250  242  262  6.377778 0.604994 SUCCESS  66
010111111  245  274  270  238  244  248  232  225  9.016165 0.340934 SUCCESS  67
011000111  255  246  209  249  220  263  247  228 10.955501 0.204233 SUCCESS  68
011001111  248  262  235  247  203  235  271  244 12.383259 0.134905 SUCCESS  69
011010111  228  234  232  199  254  251  211  269 18.669419 0.016731 SUCCESS  70
011011111  257  243  235  245  269  250  252  230  4.939428 0.764030 SUCCESS  71
011101111  249  244  234  230  235  243  252  235  2.354000 0.968192 SUCCESS  72
011111111  253  241  235  255  256  241  272  237  5.374746 0.716874 SUCCESS  73
100000000  255  235  236  242  215  215  240  214 12.257218 0.140091 SUCCESS  74
100010000  218  243  240  245  239  252  248  257  4.112219 0.846859 SUCCESS  75
100100000  235  240  234  224  249  247  242  222  4.803855 0.778320 SUCCESS  76
100101000  241  229  247  241  233  230  245  259  3.397280 0.907014 SUCCESS  77
100110000  262  263  267  240  238  224  217  242 10.163243 0.253755 SUCCESS  78
100111000  233  244  240  245  233  255  229  238  2.753306 0.948873 SUCCESS  79
101000000  266  234  206  257  255  253  265  229 12.972156 0.112811 SUCCESS  80
101000100  245  246  253  265  261  266  240  268  7.918867 0.441435 SUCCESS  81
101001000  242  245  237  260  268  238  243  241  3.925805 0.863755 SUCCESS  82
101001100  254  250  248  231  242  235  230  249  2.670691 0.953296 SUCCESS  83
101010000  250  253  231  246  250  249  248  214  5.380042 0.716291 SUCCESS  84
101010100  256  251  256  255  253  226  260  238  4.848340 0.773656 SUCCESS  85
101011000  239  239  244  257  233  240  267  239  3.849545 0.870436 SUCCESS  86
101011100  247  234  242  219  264  231  239  250  5.823833 0.666958 SUCCESS  87
101100000  276  241  217  248  230  226  237  239 10.090161 0.258755 SUCCESS  88
101100100  248  262  260  243  269  267  261  235  8.888006 0.351832 SUCCESS  89
101101000  280  229  237  224  268  244  254  250 11.327269 0.183836 SUCCESS  90
101101100  267  241  260  237  237  223  259  237  6.799327 0.558431 SUCCESS  91
101110000  226  237  256  249  225  217  252  244  7.234645 0.511541 SUCCESS  92
101110100  249  248  231  243  267  265  260  255  6.531357 0.587932 SUCCESS  93
101111000  239  249  241  236  215  223  240  243  6.094980 0.636593 SUCCESS  94
101111100  268  244  240  222  280  232  232  225 12.809044 0.118591 SUCCESS  95
110000000  246  243  229  235  266  212  222  214 13.660615 0.091052 SUCCESS  96
110000010  232  241  248  235  227  245  239  243  2.442970 0.964337 SUCCESS  97
110000100  255  238  282  261  198  267  250  239 19.432020 0.012712 SUCCESS  98
110001000  237  231  245  236  230  237  234  250  2.868756 0.942322 SUCCESS  99
110001010  230  246  230  238  245  225  240  241  3.530735 0.896791 SUCCESS 100
110010000  253  264  227  268  240  249  252  246  6.115105 0.634340 SUCCESS 101
110010010  232  238  262  253  239  236  255  231  4.091035 0.848818 SUCCESS 102
110010100  247  241  260  244  230  253  256  232  3.543445 0.895792 SUCCESS 103
110011000  252  253  249  233  248  256  234  244  2.316929 0.969722 SUCCESS 104
110011010  252  235  230  255  218  216  236  266 10.511710 0.230930 SUCCESS 105
110100000  255  230  213  255  249  252  264  242  8.007837 0.432705 SUCCESS 106
110100010  258  245  248  261  268  262  240  269  8.551190 0.381558 SUCCESS 107
110100100  237  258  274  257  310  213  233  274 32.309380 0.000082 FAILURE 108
110101000  260  231  265  252  242  239  256  216  7.985595 0.434879 SUCCESS 109
110101010  243  231  251  263  242  227  263  244  5.215871 0.734274 SUCCESS 110
110101100  226  248  232  258  249  237  254  263  5.132197 0.743358 SUCCESS 111
110110000  254  218  241  243  222  223  232  237  8.154002 0.418573 SUCCESS 112
110110010  243  249  270  249  260  237  268  246  6.755901 0.563184 SUCCESS 113
110110100  263  235  250  237  250  250  233  228  4.141875 0.844101 SUCCESS 114
110111000  228  251  246  250  232  261  230  239  4.248851 0.834002 SUCCESS 115
110111010  253  263  256  239  259  234  258  253  5.072884 0.749759 SUCCESS 116
110111100  231  249  249  247  222  250  230  229  5.000860 0.757484 SUCCESS 117
111000000  244  239  220  222  249  232  233  255  6.400021 0.602517 SUCCESS 118
111000010  248  229  270  242  208  272  240  249 12.882127 0.115970 SUCCESS 119
111000100  245  252  266  233  231  239  241  257  4.402430 0.819113 SUCCESS 120
111000110  254  256  209  206  249  227  248  249 13.903165 0.084325 SUCCESS 121
111001000  275  284  235  268  231  244  221  281 22.299187 0.004391 FAILURE 122
111001010  255  226  258  220  242  256  250  243  5.942460 0.653677 SUCCESS 123
111001100  260  232  240  226  249  254  239  235  4.132343 0.844990 SUCCESS 124
111010000  229  212  223  270  242  261  258  246 12.124822 0.145721 SUCCESS 125
111010010  232  251  251  271  315  225  247  245 26.953169 0.000720 FAILURE 126
111010100  235  231  276  239  243  227  273  228 11.380227 0.181071 SUCCESS 127
111010110  242  240  257  235  247  241  247  268  3.672664 0.885384 SUCCESS 128
111011000  228  235  253  280  218  216  255  245 13.987898 0.082081 SUCCESS 129
111011010  249  247  239  229  250  267  218  232  7.093776 0.526550 SUCCESS 130
111011100  229  244  242  227  247  272  231  265  8.133878 0.420503 SUCCESS 131
111100000  220  243  233  224  243  238  238  253  5.368391 0.717573 SUCCESS 132
111100010  219  263  269  235  246  242  253  250  7.672081 0.466140 SUCCESS 133
111100100  249  263  240  266  242  241  244  240  3.842131 0.871079 SUCCESS 134
111100110  250  239  231  242  246  241  231  253  2.126279 0.976894 SUCCESS 135
111101000  231  223  250  261  246  255  226  259  6.818392 0.556348 SUCCESS 136
111101010  227  233  264  234  254  226  258  234  6.929605 0.544247 SUCCESS 137
111101100  240  223  251  274  230  257  273  240 11.096370 0.196298 SUCCESS 138
111101110  234  242  247  215  232  258  234  267  8.172008 0.416851 SUCCESS 139
111110000  219  247  228  259  235  255  241  242  5.662840 0.684940 SUCCESS 140
111110010  242  251  242  267  260  248  252  224  5.565397 0.695784 SUCCESS 141
111110100  238  236  256  265  279  243  246  266 10.082747 0.259266 SUCCESS 142
111110110  242  237  272  249  270  258  262  224 10.348598 0.241406 SUCCESS 143
111111000  239  261  246  251  230  242  261  266  5.631065 0.688480 SUCCESS 144
111111010  260  223  264  265  256  237  265  233  9.661198 0.289615 SUCCESS 145
111111100  243  265  224  266  235  259  252  237  7.362804 0.498042 SUCCESS 146
111111110  253  241  235  255  256  241  272  237  5.374746 0.716874 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  262  257  227  247  256  242  222  189 18.898199 0.015414 SUCCESS   0
000000011  255  250  277  239  263  239  226  219 11.024347 0.200323 SUCCESS   1
000000101  236  235  229  247  256  262  258  244  4.403490 0.819009 SUCCESS   2
000000111  243  255  244  251  245  263  229  242  3.207689 0.920656 SUCCESS   3
000001001  222  246  237  225  221  188  253  252 20.061165 0.010107 SUCCESS   4
000001011  261  224  233  253  240  239  258  262  6.133110 0.632324 SUCCESS   5
000001101  262  253  258  236  263  254  221  230  7.816128 0.451634 SUCCESS   6
000001111  239  248  235  249  239  254  253  239  1.597754 0.990963 SUCCESS   7
000010001  258  238  233  243  236  274  224  230  8.126464 0.421215 SUCCESS   8
000010011  219  236  250  243  239  225  230  241  5.653307 0.686002 SUCCESS   9
000010101  250  222  243  235  261  264  264  242  7.150971 0.520435 SUCCESS  10
000010111  262  223  234  255  237  239  268  261  8.127523 0.421114 SUCCESS  11
000011001  255  282  267  229  240  272  229  266 16.125298 0.040621 SUCCESS  12
000011011  253  252  242  259  254  235  245  230  3.167441 0.923414 SUCCESS  13
000011101  230  247  255  256  240  278  249  256  7.610649 0.472396 SUCCESS  14
000011111  248  230  256  255  254  264  275  239  8.244032 0.410003 SUCCESS  15
000100011  253  237  242  254  211  254  242  230  6.907362 0.546660 SUCCESS  16
000100101  218  238  232  259  255  222  255  247  7.721862 0.461100 SUCCESS  17
000100111  217  237  262  245  244  238  232  230  6.316346 0.611842 SUCCESS  18
000101001  251  248  255  225  233  240  227  248  4.217076 0.837026 SUCCESS  19
000101011  230  244  231  219  251  236  255  230  6.075915 0.638728 SUCCESS  20
000101101  244  251  257  256  261  269  235  223  7.571460 0.476409 SUCCESS  21
000101111  250  213  235  232  237  244  260  261  7.715507 0.461742 SUCCESS  22
000110011  262  258  251  248  246  249  254  274  6.743191 0.564577 SUCCESS  23
000110101  269  246  266  240  218  255  214  236 12.252981 0.140268 SUCCESS  24
000110111  246  230  240  238  251  229  246  233  2.799910 0.946280 SUCCESS  25
000111001  251  226  227  258  242  251  218  228  7.862731 0.446993 SUCCESS  26
000111011  239  242  263  240  223  270  228  268  9.955647 0.268153 SUCCESS  27
000111101  225  235  224  257  229  257  263  230  8.346771 0.400350 SUCCESS  28
000111111  242  235  260  262  235  272  258  250  7.399875 0.494166 SUCCESS  29
001000011  259  243  256  245  250  253  243  266  4.056083 0.852028 SUCCESS  30
001000101  221  239  221  221  252  257  228  241  9.016165 0.340934 SUCCESS  31
001000111  285  249  246  265  211  270  240  219 19.272085 0.013470 SUCCESS  32
001001011  212  254  258  234  255  234  243  244  6.976208 0.539202 SUCCESS  33
001001101  248  245  255  252  256  250  234  254  2.421787 0.965278 SUCCESS  34
001001111  224  241  227  258  239  261  243  216  8.489759 0.387147 SUCCESS  35
001010011  238  252  230  234  222  232  235  244  4.750897 0.783839 SUCCESS  36
001010101  253  245  283  241  280  245  272  239 15.640199 0.047829 SUCCESS  37
001010111  237  253  238  242  240  237  248  221  3.343263 0.911008 SUCCESS  38
001011011  222  234  243  258  253  247  241  237  3.954403 0.861214 SUCCESS  39
001011101  278  249  235  242  258  233  240  252  7.009042 0.535657 SUCCESS  40
001011111  228  241  257  222  227  206  273  260 15.919820 0.043542 SUCCESS  41
001100101  252  272  245  214  222  255  261  227 12.426685 0.133157 SUCCESS  42
001100111  264  245  228  239  227  247  266  254  6.607618 0.579497 SUCCESS  43
001101011  256  237  250  267  246  242  213  249  7.414703 0.492620 SUCCESS  44
001101101  252  259  243  273  241  247  225  273  9.896333 0.272378 SUCCESS  45
001101111  244  223  227  261  242  216  224  229 10.395201 0.238376 SUCCESS  46
001110101  248  251  241  254  219  221  232  233  6.805682 0.557736 SUCCESS  47
001110111  235  234  259  242  224  221  254  244  6.138406 0.631732 SUCCESS  48
001111011  224  242  248  245  228  238  262  253  4.749837 0.783949 SUCCESS  49
001111101  254  233  230  246  246  222  251  255  4.587785 0.800588 SUCCESS  50
001111111  255  219  251  245  230  278  245  220 11.554990 0.172191 SUCCESS  51
010000011  228  251  279  237  228  255  247  217 11.424712 0.178776 SUCCESS  52
010000111  232  224  263  251  257  245  268  258  7.984536 0.434982 SUCCESS  53
010001011  227  251  222  227  252  251  242  248  5.304841 0.724553 SUCCESS  54
010001111  276  267  257  246  235  267  242  233 10.351775 0.241199 SUCCESS  55
010010011  251  236  232  262  242  256  253  224  5.122664 0.744389 SUCCESS  56
010010111  251  261  251  228  247  210  234  257  8.813864 0.358241 SUCCESS  57
010011011  251  240  249  266  248  245  218  245  5.362036 0.718273 SUCCESS  58
010011111  219  229  234  259  240  281  242  211 15.516277 0.049851 SUCCESS  59
010100011  251  272  282  220  249  237  242  256 12.967919 0.112958 SUCCESS  60
010100111  252  267  227  260  217  266  241  220 12.441513 0.132565 SUCCESS  61
010101011  253  239  259  239  265  248  249  245  3.507434 0.898612 SUCCESS  62
010101111  243  242  235  237  221  231  280  227 10.282929 0.245727 SUCCESS  63
010110011  245  230  258  222  285  257  256  246 12.131177 0.145446 SUCCESS  64
010110111  228  228  231  255  235  247  235  246  4.189538 0.839630 SUCCESS  65
010111011  272  243  220  245  277  237  240  246 10.647283 0.222496 SUCCESS  66
010111111  235  261  262  242  231  224  250  254  5.937164 0.654270 SUCCESS  67
011000111  240  261  251  255  220  208  237  277 14.768505 0.063806 SUCCESS  68
011001111  263  251  235  225  257  259  258  240  6.139465 0.631613 SUCCESS  69
011010111  242  246  270  269  263  277  244  236 11.860030 0.157559 SUCCESS  70
011011111  241  225  226  248  250  195  235  252 14.032383 0.080925 SUCCESS  71
011101111  242  236  255  232  236  245  213  232  6.432855 0.598865 SUCCESS  72
011111111  246  225  219  238  236  236  236  242  5.256120 0.729884 SUCCESS  73
100000000  262  257  227  247  256  242  222  189 18.898199 0.015414 SUCCESS  74
100010000  233  238  254  223  262  230  243  221  7.457070 0.488214 SUCCESS  75
100100000  230  246  246  261  224  270  255  216 10.486290 0.232539 SUCCESS  76
100101000  257  247  259  224  241  249  249  263  5.142789 0.742211 SUCCESS  77
100110000  250  239  250  259  242  239  250  246  1.632707 0.990279 SUCCESS  78
100111000  228  242  249  235  250  236  237  250  2.361414 0.967880 SUCCESS  79
101000000  258  245  255  267  236  271  237  223  8.982271 0.343794 SUCCESS  80
101000100  241  232  258  263  245  245  253  212  7.701738 0.463134 SUCCESS  81
101001000  248  243  260  238  267  280  268  227 12.622631 0.125510 SUCCESS  82
101001100  248  250  255  231  241  220  281  274 13.490089 0.096063 SUCCESS  83
101010000  281  240  257  243  222  245  276  256 13.519746 0.095174 SUCCESS  84
101010100  242  262  261  230  240  242  279  241  8.710065 0.367342 SUCCESS  85
101011000  248  240  232  236  221  225  227  256  6.693410 0.570043 SUCCESS  86
101011100  263  268  247  245  238  231  227  236  6.373541 0.605466 SUCCESS  87
101100000  253  256  247  223  230  259  227  250  6.028253 0.644067 SUCCESS  88
101100100  243  244  251  241  230  277  238  257  6.532417 0.587814 SUCCESS  89
101101000  236  238  237  267  291  242  239  252 12.572850 0.127416 SUCCESS  90
101101100  229  254  255  216  253  244  232  272  9.483258 0.303181 SUCCESS  91
101110000  248  250  228  240  268  238  227  253  5.533622 0.699312 SUCCESS  92
101110100  230  230  252  241  272  224  261  244  8.209079 0.413318 SUCCESS  93
101111000  263  251  234  269  216  234  242  233  9.094543 0.334383 SUCCESS  94
101111100  242  240  258  235  225  212  251  241  7.423177 0.491737 SUCCESS  95
110000000  255  241  258  237  260  214  241  224  8.242972 0.410103 SUCCESS  96
110000010  283  262  245  223  213  248  260  289 23.417668 0.002867 FAILURE  97
110000100  248  234  218  254  265  263  234  237  7.807655 0.452481 SUCCESS  98
110001000  232  247  252  225  217  229  243  255  7.063060 0.529845 SUCCESS  99
110001010  245  253  269  234  228  221  270  255 10.097575 0.258244 SUCCESS 100
110010000  246  254  238  246  244  262  230  241  2.842276 0.943862 SUCCESS 101
110010010  238  245  250  242  241  280  228  236  7.202870 0.514911 SUCCESS 102
110010100  259  271  267  204  216  258  241  258 18.059338 0.020786 SUCCESS 103
110011000  231  240  239  236  231  252  242  260  3.272299 0.916126 SUCCESS 104
110011010  245  271  256  257  260  232  255  244  6.554659 0.585351 SUCCESS 105
110100000  222  236  248  271  261  254  228  227  9.440891 0.306478 SUCCESS 106
110100010  246  258  262  244  260  216  257  233  7.829897 0.450260 SUCCESS 107
110100100  236  249  228  244  245  240  263  234  3.501079 0.899106 SUCCESS 108
110101000  256  243  250  246  231  253  249  219  4.602613 0.799081 SUCCESS 109
110101010  242  256  236  228  225  245  256  247  4.183183 0.840229 SUCCESS 110
110101100  252  229  233  230  205  257  239  281 15.661383 0.047491 SUCCESS 111
110110000  251  244  242  241  242  274  224  262  7.130846 0.522583 SUCCESS 112
110110010  248  235  252  235  248  252  248  258  2.237492 0.972852 SUCCESS 113
110110100  252  233  227  252  271  231  263  265  9.437714 0.306726 SUCCESS 114
110111000  230  260  215  253  263  230  235  242  8.567078 0.380121 SUCCESS 115
110111010  228  212  246  242  251  238  269  250  8.634864 0.374028 SUCCESS 116
110111100  241  238  256  252  241  231  249  242  1.951516 0.982462 SUCCESS 117
111000000  236  241  245  232  266  226  234  255  5.301664 0.724901 SUCCESS 118
111000010  251  242  227  250  269  247  230  229  6.079093 0.638373 SUCCESS 119
111000100  224  220  244  248  207  227  246  233 11.866385 0.157266 SUCCESS 120
111000110  273  266  215  258  230  234  218  253 14.474056 0.070216 SUCCESS 121
