		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  216  239  248  244  243  241  221  235  6.191365 0.625806 SUCCESS  76
100101000  261  274  244  250  251  218  239  241  8.378546 0.397393 SUCCESS  77
100110000  240  239  252  275  267  246  256  236  7.593703 0.474129 SUCCESS  78
100111000  246  230  272  260  205  254  236  230 13.243303 0.103748 SUCCESS  79
101000000  279  248  243  213  261  253  231  239 11.707510 0.164739 SUCCESS  80
101000100  249  257  274  234  237  230  255  279 11.732930 0.163524 SUCCESS  81
101001000  243  235  255  215  239  246  263  242  6.107690 0.635170 SUCCESS  82
101001100  240  236  233  272  250  257  256  223  7.504733 0.483278 SUCCESS  83
101010000  277  243  243  231  237  217  246  241  8.707947 0.367529 SUCCESS  84
101010100  261  266  269  250  235  255  255  225  8.906011 0.350287 SUCCESS  85
101011000  234  233  266  241  230  245  263  228  6.486872 0.592864 SUCCESS  86
101011100  245  238  252  190  236  243  236  251 13.601302 0.092768 SUCCESS  87
101100000  276  247  255  238  238  267  246  219 10.064741 0.260511 SUCCESS  88
101100100  252  231  233  245  256  242  228  254  3.651481 0.887121 SUCCESS  89
101101000  243  227  247  235  244  259  239  254  3.097536 0.928088 SUCCESS  90
101101100  238  250  242  246  262  267  245  247  3.948048 0.861780 SUCCESS  91
101110000  259  253  232  225  262  240  231  252  5.861964 0.662691 SUCCESS  92
101110100  259  234  233  239  233  221  257  270  8.336179 0.401339 SUCCESS  93
101111000  267  259  219  257  232  233  226  235  9.422885 0.307886 SUCCESS  94
101111100  238  265  254  245  260  259  245  231  5.159735 0.740375 SUCCESS  95
110000000  264  237  266  253  250  231  263  253  6.968794 0.540003 SUCCESS  96
110000010  266  250  248  257  236  243  271  243  6.289867 0.614798 SUCCESS  97
110000100  245  205  217  248  239  237  222  240 12.141769 0.144990 SUCCESS  98
110001000  250  236  244  273  255  243  238  235  4.976499 0.760085 SUCCESS  99
110001010  214  266  242  239  230  265  219  237 11.583587 0.170772 SUCCESS 100
110010000  212  248  266  265  241  244  217  228 12.569672 0.127539 SUCCESS 101
110010010  223  226  241  230  227  247  228  259  7.485668 0.485250 SUCCESS 102
110010100  269  260  224  253  211  244  241  265 12.275224 0.139340 SUCCESS 103
110011000  251  219  231  240  242  249  248  250  4.006302 0.856554 SUCCESS 104
110011010  234  257  260  241  245  252  226  252  4.166236 0.841822 SUCCESS 105
110100000  243  252  233  212  251  243  240  253  5.776171 0.672288 SUCCESS 106
110100010  259  238  231  246  232  252  259  251  3.864373 0.869148 SUCCESS 107
110100100  231  224  243  236  255  244  233  235  4.109041 0.847154 SUCCESS 108
110101000  266  245  262  216  238  241  257  268 10.053090 0.261319 SUCCESS 109
110101010  243  258  262  264  252  251  258  239  5.238114 0.731849 SUCCESS 110
110101100  217  221  254  247  239  235  240  240  6.439210 0.598158 SUCCESS 111
110110000  275  256  218  241  252  257  256  255  9.632600 0.291765 SUCCESS 112
110110010  245  251  237  233  247  239  255  254  2.003416 0.980907 SUCCESS 113
110110100  237  253  288  221  261  255  246  251 12.892719 0.115595 SUCCESS 114
